Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Y-Intercept	R(superscript 2)	Slope	Efficiency	Amp Score	Cq Conf	NOAMP	EXPFAIL	THOLDFAIL	PRFDROP
79	D7	false	10^5	hep_g	UNKNOWN	FAM	NFQ-MGB	27.058	27.058					true	0.255	true	1	45						1.362	0.982	N	N	Y	N
80	D8	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.246	26.246					true	0.040	true	1	45						1.062	0.941	N	N	Y	N
80	D8	false	10^5	hf183	UNKNOWN	FAM	NFQ-MGB	19.503	19.503					true	0.192	true	1	45						1.311	0.892	N	N	Y	N
81	D9	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.880	25.880					true	0.040	true	1	45						1.076	0.903	N	N	Y	N
81	D9	false	10^5	human_mtdna	UNKNOWN	FAM	NFQ-MGB	20.113	20.113					true	0.155	true	1	45						1.202	0.838	N	N	Y	N
82	D10	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.558	26.558					true	0.040	true	1	45						1.018	0.917	N	N	Y	N
82	D10	false	10^5	necator_americanus	UNKNOWN	FAM	NFQ-MGB	21.732	21.732					true	0.122	true	1	45						1.223	0.928	N	N	Y	N
83	D11	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.675	26.675					true	0.040	true	1	45						1.077	0.875	N	N	Y	N
83	D11	false	10^5	norovirus_gi	UNKNOWN	FAM	NFQ-MGB	24.431	24.431					true	0.125	true	1	45						1.215	0.816	N	N	Y	N
84	D12	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.732	26.732					true	0.040	true	1	45						1.046	0.907	N	N	Y	N
84	D12	false	10^5	norovirus_gii	UNKNOWN	FAM	NFQ-MGB	24.258	24.258					true	0.136	true	1	45						1.216	0.985	N	N	Y	N
85	D13	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.829	25.829					true	0.040	true	1	45						1.080	0.931	N	N	Y	N
85	D13	false	10^5	plesiomonas_shigeeloides	UNKNOWN	FAM	NFQ-MGB	19.546	19.546					true	0.211	true	1	45						1.282	0.959	N	N	Y	N
86	D14	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.054	26.054					true	0.040	true	1	45						1.074	0.922	N	N	Y	N
86	D14	false	10^5	rotavirus	UNKNOWN	FAM	NFQ-MGB	25.120	25.120					true	0.245	true	1	45						1.328	0.965	N	N	Y	N
87	D15	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.743	25.743					true	0.040	true	1	45						1.070	0.908	N	N	Y	N
87	D15	false	10^5	salmonella_enterica	UNKNOWN	FAM	NFQ-MGB	19.247	19.247					true	0.298	true	1	45						1.425	0.982	N	N	Y	N
88	D16	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.789	26.789					true	0.040	true	1	45						1.068	0.894	N	N	Y	N
88	D16	false	10^5	sapovirus_i_ii_iv_v	UNKNOWN	FAM	NFQ-MGB	23.726	23.726					true	0.110	true	1	45						1.227	0.976	N	N	Y	N
89	D17	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.915	25.915					true	0.040	true	1	45						0.981	0.794	N	N	Y	N
89	D17	false	10^5	sars_cov_2	UNKNOWN	FAM	NFQ-MGB	22.422	22.422					true	0.235	true	1	45						1.325	0.977	N	N	Y	N
90	D18	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.301	27.301					true	0.040	true	1	45						1.053	0.905	N	N	Y	N
90	D18	false	10^5	shigella_eiec	UNKNOWN	FAM	NFQ-MGB	19.292	19.292					true	0.231	true	1	45						1.303	0.961	N	N	Y	N
91	D19	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.400	26.400					true	0.040	true	1	45						1.038	0.934	N	N	Y	N
