Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Y-Intercept	R(superscript 2)	Slope	Efficiency	Amp Score	Cq Conf	BADROX	NOAMP	NOISE	EXPFAIL	THOLDFAIL	PRFLOW	PRFDROP
24	A24	false	10^6	epec_eae	UNKNOWN	FAM	NFQ-MGB	16.322	16.322					true	0.168	true	1	45						1.334	0.968	N	N	N	N	Y	N	N
25	B1	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.153	27.153					true	0.040	true	1	45						0.950	0.938	N	N	N	N	Y	N	N
25	B1	false	10^6	etec_lt	UNKNOWN	FAM	NFQ-MGB	15.875	15.875					true	0.185	true	1	45						1.348	0.899	N	N	N	N	Y	N	N
26	B2	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	29.415	29.415					true	0.040	true	1	45						0.415	0.757	N	N	N	N	Y	N	Y
26	B2	false	10^6	etec_sth	UNKNOWN	FAM	NFQ-MGB	16.715	16.715					true	0.221	true	1	45						1.362	0.938	N	N	N	N	Y	N	Y
27	B3	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.647	26.647					true	0.040	true	1	45						0.922	0.889	Y	N	N	N	Y	Y	Y
27	B3	false	10^6	etec_stp	UNKNOWN	FAM	NFQ-MGB	14.442	14.442					true	0.065	true	1	45						1.143	0.789	Y	N	N	N	Y	Y	Y
28	B4	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.454	25.454					true	0.040	true	1	45						1.008	0.807	Y	N	N	N	Y	N	Y
28	B4	false	10^6	giardia_spp	UNKNOWN	FAM	NFQ-MGB	15.252	15.252					true	0.149	true	1	45						1.247	0.665	Y	N	N	N	Y	N	Y
29	B5	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.449	26.449					true	0.040	true	1	45						1.042	0.942	N	N	N	N	Y	N	N
29	B5	false	10^6	helicobactor_pylori	UNKNOWN	FAM	NFQ-MGB	16.510	16.510					true	0.139	true	1	45						1.235	0.683	N	N	N	N	Y	N	N
30	B6	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.526	25.526					true	0.040	true	1	45						1.078	0.936	N	N	N	N	Y	N	N
30	B6	false	10^6	hep_a	UNKNOWN	FAM	NFQ-MGB	20.193	20.193					true	0.130	true	1	45						1.222	0.674	N	N	N	N	Y	N	N
31	B7	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.575	25.575					true	0.040	true	1	45						1.093	0.977	N	N	N	N	Y	N	Y
31	B7	false	10^6	hep_g	UNKNOWN	FAM	NFQ-MGB	26.848	26.848					true	0.230	true	1	45						1.330	0.962	N	N	N	N	Y	N	Y
32	B8	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.684	26.684					true	0.040	true	1	45						1.057	0.968	N	N	N	N	Y	N	N
32	B8	false	10^6	hf183	UNKNOWN	FAM	NFQ-MGB	16.393	16.393					true	0.179	true	1	45						1.308	0.800	N	N	N	N	Y	N	N
33	B9	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	24.159	24.159					true	0.040	true	1	45						1.061	0.785	N	N	N	N	Y	N	N
33	B9	false	10^6	human_mtdna	UNKNOWN	FAM	NFQ-MGB	16.466	16.466					true	0.127	true	1	45						1.203	0.684	N	N	N	N	Y	N	N
34	B10	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.089	26.089					true	0.040	true	1	45						0.982	0.829	N	N	N	N	Y	N	N
34	B10	false	10^6	necator_americanus	UNKNOWN	FAM	NFQ-MGB	18.975	18.975					true	0.113	true	1	45						1.214	0.786	N	N	N	N	Y	N	N
35	B11	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.911	25.911					true	0.040	true	1	45						1.059	0.943	N	N	N	N	Y	N	N
35	B11	false	10^6	norovirus_gi	UNKNOWN	FAM	NFQ-MGB	20.851	20.851					true	0.130	true	1	45						1.207	0.765	N	N	N	N	Y	N	N
36	B12	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.025	26.025					true	0.040	true	1	45						1.064	0.930	N	N	N	N	Y	N	N
36	B12	false	10^6	norovirus_gii	UNKNOWN	FAM	NFQ-MGB	20.315	20.315					true	0.114	true	1	45						1.214	0.907	N	N	N	N	Y	N	N
37	B13	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	24.241	24.241					true	0.040	true	1	45						1.083	0.854	N	N	N	N	Y	N	N
37	B13	false	10^6	plesiomonas_shigeeloides	UNKNOWN	FAM	NFQ-MGB	15.950	15.950					true	0.162	true	1	45						1.269	0.816	N	N	N	N	Y	N	N
38	B14	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	24.846	24.846					true	0.040	true	1	45						1.077	0.901	N	N	N	N	Y	N	N
38	B14	false	10^6	rotavirus	UNKNOWN	FAM	NFQ-MGB	21.204	21.204					true	0.164	true	1	45						1.333	0.963	N	N	N	N	Y	N	N
39	B15	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.102	25.102					true	0.040	true	1	45						1.073	0.935	N	N	N	N	Y	N	N
39	B15	false	10^6	salmonella_enterica	UNKNOWN	FAM	NFQ-MGB	16.153	16.153					true	0.304	true	1	45						1.415	0.986	N	N	N	N	Y	N	N
40	B16	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.375	25.375					true	0.040	true	1	45						1.068	0.928	N	N	N	N	Y	N	Y
40	B16	false	10^6	sapovirus_i_ii_iv_v	UNKNOWN	FAM	NFQ-MGB	17.239	17.239					true	0.041	true	1	45						1.218	0.747	N	N	N	N	Y	N	Y
41	B17	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	23.225	23.225					true	0.040	true	1	45						0.947	0.321	N	N	N	N	Y	N	N
41	B17	false	10^6	sars_cov_2	UNKNOWN	FAM	NFQ-MGB	19.116	19.116					true	0.217	true	1	45						1.331	0.869	N	N	N	N	Y	N	N
42	B18	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.437	26.437					true	0.040	true	1	45						1.047	0.893	N	N	N	N	Y	N	N
42	B18	false	10^6	shigella_eiec	UNKNOWN	FAM	NFQ-MGB	16.376	16.376					true	0.189	true	1	45						1.311	0.901	N	N	N	N	Y	N	N
43	B19	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.479	26.479					true	0.040	true	1	45						1.037	0.891	N	N	N	N	Y	N	N
43	B19	false	10^6	stec_stx1	UNKNOWN	FAM	NFQ-MGB	17.145	17.145					true	0.238	true	1	45						1.411	0.879	N	N	N	N	Y	N	N
44	B20	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.618	25.618					true	0.040	true	1	45						1.048	0.887	N	N	Y	N	Y	N	N
44	B20	false	10^6	stec_stx2	UNKNOWN	FAM	NFQ-MGB	16.924	16.924					true	0.161	true	1	45						1.294	0.809	N	N	Y	N	Y	N	N
45	B21	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	28.750	28.750					true	0.040	true	1	45						0.858	0.534	N	N	N	N	Y	N	N
45	B21	false	10^6	strongyloides_stercolaris	UNKNOWN	FAM	NFQ-MGB	16.079	16.079					true	0.217	true	1	45						1.417	0.958	N	N	N	N	Y	N	N
46	B22	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	29.129	29.129					true	0.040	true	1	45						0.879	0.573	N	N	N	N	Y	N	N
46	B22	false	10^6	tichuris_trichuira	UNKNOWN	FAM	NFQ-MGB	16.908	16.908					true	0.378	true	1	45						1.475	0.946	N	N	N	N	Y	N	N
47	B23	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.550	26.550					true	0.040	true	1	45						1.041	0.904	N	N	N	N	Y	N	N
47	B23	false	10^6	yersinia_enterocolitica	UNKNOWN	FAM	NFQ-MGB	15.689	15.689					true	0.101	true	1	45						1.182	0.773	N	N	N	N	Y	N	N
48	B24	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.197	27.197					true	0.040	true	1	45						1.008	0.952	N	N	N	N	Y	N	N
48	B24	false	10^6	zika	UNKNOWN	FAM	NFQ-MGB	20.734	20.734					true	0.216	true	1	45						1.321	0.988	N	N	N	N	Y	N	N
49	C1	false	10^5	16s	UNKNOWN	FAM	NFQ-MGB	15.283	15.283					true	0.040	true	1	45						1.041	0.579	N	N	N	N	Y	N	N
49	C1	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.947	25.947					true	0.040	true	1	45						1.077	0.890	N	N	N	N	Y	N	N
50	C2	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.223	26.223					true	0.040	true	1	45						1.029	0.940	N	N	N	N	Y	N	N
50	C2	false	10^5	acanthamoeba_spp	UNKNOWN	FAM	NFQ-MGB	15.657	15.657					true	0.133	true	1	45						1.279	0.762	N	N	N	N	Y	N	N
51	C3	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.277	26.277					true	0.040	true	1	45						1.039	0.947	N	N	N	N	Y	N	N
51	C3	false	10^5	adenovirus_40_41	UNKNOWN	FAM	NFQ-MGB	14.301	14.301					true	0.059	true	1	45						1.135	0.483	N	N	N	N	Y	N	N
52	C4	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	21.937	21.937					true	0.040	true	1	45						0.908	0.285	N	N	N	N	Y	N	N
52	C4	false	10^5	anclyostoma_duoenale	UNKNOWN	FAM	NFQ-MGB	17.661	17.661					true	0.207	true	1	45						1.404	0.916	N	N	N	N	Y	N	N
53	C5	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.154	26.154					true	0.040	true	1	45						1.041	0.954	N	N	N	Y	Y	N	N
53	C5	false	10^5	ascaris_lumbricoides	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.200	true	1	45						0.000	0.000	N	N	N	Y	Y	N	N
54	C6	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.003	27.003					true	0.040	true	1	45						1.071	0.926	N	N	N	N	Y	N	N
54	C6	false	10^5	astrovirus	UNKNOWN	FAM	NFQ-MGB	25.764	25.764					true	0.118	true	1	45						1.270	0.792	N	N	N	N	Y	N	N
55	C7	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.502	27.502					true	0.040	true	1	45						0.931	0.574	N	N	N	N	Y	N	N
55	C7	false	10^5	balantidium_coli	UNKNOWN	FAM	NFQ-MGB	16.983	16.983					true	0.410	true	1	45						1.483	0.961	N	N	N	N	Y	N	N
56	C8	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.334	25.334					true	0.040	true	1	45						1.057	0.961	Y	N	N	N	Y	N	Y
56	C8	false	10^5	bhv	UNKNOWN	FAM	NFQ-MGB	14.747	14.747					true	0.040	true	1	45						0.964	0.445	Y	N	N	N	Y	N	Y
57	C9	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.218	27.218					true	0.040	true	1	45						0.984	0.859	N	N	N	N	Y	N	N
57	C9	false	10^5	blastocystis_spp	UNKNOWN	FAM	NFQ-MGB	20.059	20.059					true	0.040	true	1	45						1.124	0.738	N	N	N	N	Y	N	N
58	C10	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.432	25.432					true	0.040	true	1	45						1.109	0.934	N	N	N	N	Y	N	N
58	C10	false	10^5	brsv	UNKNOWN	FAM	NFQ-MGB	24.874	24.874					true	0.252	true	1	45						1.404	0.835	N	N	N	N	Y	N	N
59	C11	false	10^5	18s	UNKNOWN	FAM	NFQ-MGB	32.504	32.504					true	0.139	true	1	45						1.266	0.977	N	N	N	N	Y	N	N
59	C11	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.798	26.798					true	0.040	true	1	45						1.086	0.909	N	N	N	N	Y	N	N
60	C12	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.958	25.958					true	0.040	true	1	45						1.058	0.899	N	N	N	N	Y	N	N
60	C12	false	10^5	c_jejuni_c_coli	UNKNOWN	FAM	NFQ-MGB	17.683	17.683					true	0.161	true	1	45						1.360	0.933	N	N	N	N	Y	N	N
61	C13	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	41.805	41.805					true	0.040	true	1	45						0.628	0.239	N	N	N	N	Y	N	N
61	C13	false	10^5	clostridium_difficile	UNKNOWN	FAM	NFQ-MGB	14.016	14.016					true	0.160	true	1	45						1.342	0.961	N	N	N	N	Y	N	N
62	C14	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.380	26.380					true	0.040	true	1	45						1.050	0.933	N	N	N	N	Y	N	N
62	C14	false	10^5	cryptosporidium_spp	UNKNOWN	FAM	NFQ-MGB	17.265	17.265					true	0.070	true	1	45						1.213	0.844	N	N	N	N	Y	N	N
63	C15	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	22.828	22.828					true	0.040	true	1	45						1.082	0.497	N	N	N	N	Y	N	N
63	C15	false	10^5	cyclospora_cayetanesis	UNKNOWN	FAM	NFQ-MGB	16.281	16.281					true	0.161	true	1	45						1.296	0.906	N	N	N	N	Y	N	N
64	C16	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.493	26.493					true	0.040	true	1	45						1.056	0.964	N	N	N	N	Y	N	N
64	C16	false	10^5	e_coli_ybbW	UNKNOWN	FAM	NFQ-MGB	26.015	26.015					true	0.258	true	1	45						1.355	0.939	N	N	N	N	Y	N	N
65	C17	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	N	N	N	Y	Y	N	N
65	C17	false	10^5	e_coli_0157H7	UNKNOWN	FAM	NFQ-MGB	15.808	15.808					true	0.106	true	1	45						1.373	0.841	N	N	N	Y	Y	N	N
66	C18	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.237	26.237					true	0.040	true	1	45						1.064	0.913	N	N	N	N	Y	N	N
66	C18	false	10^5	eaec_aaic	UNKNOWN	FAM	NFQ-MGB	15.773	15.773					true	0.051	true	1	45						1.222	0.787	N	N	N	N	Y	N	N
67	C19	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.162	27.162					true	0.040	true	1	45						0.997	0.911	N	N	N	N	Y	N	N
67	C19	false	10^5	eaec_aata	UNKNOWN	FAM	NFQ-MGB	15.340	15.340					true	0.040	true	1	45						1.026	0.383	N	N	N	N	Y	N	N
68	C20	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.397	26.397					true	0.040	true	1	45						1.043	0.941	N	N	N	N	Y	N	N
68	C20	false	10^5	entamoeba_histolytica	UNKNOWN	FAM	NFQ-MGB	16.742	16.742					true	0.119	true	1	45						1.251	0.699	N	N	N	N	Y	N	N
69	C21	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.595	25.595					true	0.040	true	1	45						0.975	0.503	N	N	N	N	Y	N	N
69	C21	false	10^5	enterobius_verminularis	UNKNOWN	FAM	NFQ-MGB	16.646	16.646					true	0.248	true	1	45						1.429	0.967	N	N	N	N	Y	N	N
70	C22	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.228	26.228					true	0.040	true	1	45						1.050	0.963	N	N	N	N	Y	N	N
70	C22	false	10^5	enterococcus_spp	UNKNOWN	FAM	NFQ-MGB	19.499	19.499					true	0.181	true	1	45						1.323	0.942	N	N	N	N	Y	N	N
71	C23	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.554	25.554					true	0.040	true	1	45						0.984	0.726	N	N	N	N	Y	N	N
71	C23	false	10^5	epec_bfpa	UNKNOWN	FAM	NFQ-MGB	18.377	18.377					true	0.122	true	1	45						1.260	0.889	N	N	N	N	Y	N	N
72	C24	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	23.249	23.249					true	0.040	true	1	45						1.052	0.521	N	N	N	N	Y	N	N
72	C24	false	10^5	epec_eae	UNKNOWN	FAM	NFQ-MGB	19.657	19.657					true	0.168	true	1	45						1.330	0.904	N	N	N	N	Y	N	N
73	D1	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	24.351	24.351					true	0.040	true	1	45						0.933	0.832	N	N	N	N	Y	N	Y
73	D1	false	10^5	etec_lt	UNKNOWN	FAM	NFQ-MGB	19.155	19.155					true	0.185	true	1	45						1.277	0.987	N	N	N	N	Y	N	Y
74	D2	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	23.263	23.263					true	0.040	true	1	45						1.067	0.642	N	N	N	N	Y	N	N
74	D2	false	10^5	etec_sth	UNKNOWN	FAM	NFQ-MGB	20.029	20.029					true	0.221	true	1	45						1.339	0.982	N	N	N	N	Y	N	N
75	D3	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.270	26.270					true	0.040	true	1	45						1.039	0.945	N	N	N	N	Y	N	N
75	D3	false	10^5	etec_stp	UNKNOWN	FAM	NFQ-MGB	18.074	18.074					true	0.065	true	1	45						1.150	0.935	N	N	N	N	Y	N	N
76	D4	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.269	26.269					true	0.040	true	1	45						0.981	0.803	Y	N	N	N	Y	N	Y
76	D4	false	10^5	giardia_spp	UNKNOWN	FAM	NFQ-MGB	18.629	18.629					true	0.149	true	1	45						1.241	0.692	Y	N	N	N	Y	N	Y
77	D5	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.459	25.459					true	0.040	true	1	45						1.072	0.976	N	N	N	N	Y	N	N
77	D5	false	10^5	helicobactor_pylori	UNKNOWN	FAM	NFQ-MGB	19.522	19.522					true	0.139	true	1	45						1.249	0.841	N	N	N	N	Y	N	N
78	D6	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.737	25.737					true	0.040	true	1	45						1.075	0.973	N	N	N	N	Y	N	N
78	D6	false	10^5	hep_a	UNKNOWN	FAM	NFQ-MGB	23.466	23.466					true	0.130	true	1	45						1.219	0.734	N	N	N	N	Y	N	N
79	D7	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.297	26.297					true	0.040	true	1	45						1.098	0.904	N	N	N	N	Y	N	N
79	D7	false	10^5	hep_g	UNKNOWN	FAM	NFQ-MGB	27.266	27.266					true	0.230	true	1	45						1.362	0.963	N	N	N	N	Y	N	N
80	D8	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	23.951	23.951					true	0.040	true	1	45						1.062	0.788	N	N	N	N	Y	N	Y
80	D8	false	10^5	hf183	UNKNOWN	FAM	NFQ-MGB	18.977	18.977					true	0.179	true	1	45						1.300	0.864	N	N	N	N	Y	N	Y
81	D9	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	24.273	24.273					true	0.040	true	1	45						1.083	0.842	N	N	N	N	Y	N	N
81	D9	false	10^5	human_mtdna	UNKNOWN	FAM	NFQ-MGB	18.869	18.869					true	0.127	true	1	45						1.223	0.686	N	N	N	N	Y	N	N
82	D10	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.941	26.941					true	0.040	true	1	45						0.986	0.929	N	N	N	N	Y	N	N
82	D10	false	10^5	necator_americanus	UNKNOWN	FAM	NFQ-MGB	21.770	21.770					true	0.113	true	1	45						1.233	0.891	N	N	N	N	Y	N	N
83	D11	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.617	26.617					true	0.040	true	1	45						1.082	0.941	N	N	N	N	Y	N	N
83	D11	false	10^5	norovirus_gi	UNKNOWN	FAM	NFQ-MGB	24.773	24.773					true	0.130	true	1	45						1.213	0.841	N	N	N	N	Y	N	N
84	D12	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.620	26.620					true	0.040	true	1	45						1.070	0.919	N	N	N	N	Y	N	N
