Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Y-Intercept	R(superscript 2)	Slope	Efficiency	Amp Score	Cq Conf	BADROX	NOAMP	EXPFAIL	THOLDFAIL	PRFLOW	PRFDROP
17	A17	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	N	Y	Y	Y	N	N
17	A17	false	10^6	e_coli_0157H7	UNKNOWN	FAM	NFQ-MGB	13.427	13.427					true	0.131	true	1	45						1.333	0.968	N	Y	Y	Y	N	N
18	A18	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.821	26.821					true	0.040	true	1	45						1.056	0.828	N	N	N	Y	N	N
18	A18	false	10^6	eaec_aaic	UNKNOWN	FAM	NFQ-MGB	11.468	11.468					true	0.040	true	1	45						1.152	0.777	N	N	N	Y	N	N
19	A19	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.779	27.779					true	0.040	true	1	45						0.984	0.839	N	N	N	Y	N	N
19	A19	false	10^6	eaec_aata	UNKNOWN	FAM	NFQ-MGB	11.834	11.834					true	0.040	true	1	45						0.975	0.807	N	N	N	Y	N	N
20	A20	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.697	26.697					true	0.040	true	1	45						1.047	0.854	N	N	N	Y	N	N
20	A20	false	10^6	entamoeba_histolytica	UNKNOWN	FAM	NFQ-MGB	14.687	14.687					true	0.094	true	1	45						1.192	0.747	N	N	N	Y	N	N
21	A21	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	28.096	28.096					true	0.040	true	1	45						0.951	0.748	N	N	N	Y	N	N
21	A21	false	10^6	enterobius_verminularis	UNKNOWN	FAM	NFQ-MGB	13.970	13.970					true	0.240	true	1	45						1.374	0.974	N	N	N	Y	N	N
22	A22	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.501	26.501					true	0.040	true	1	45						1.035	0.827	N	N	N	Y	N	N
22	A22	false	10^6	enterococcus_spp	UNKNOWN	FAM	NFQ-MGB	16.304	16.304					true	0.158	true	1	45						1.270	0.975	N	N	N	Y	N	N
23	A23	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.576	27.576					true	0.040	true	1	45						0.967	0.689	N	N	N	Y	N	N
23	A23	false	10^6	epec_bfpa	UNKNOWN	FAM	NFQ-MGB	15.350	15.350					true	0.099	true	1	45						1.216	0.825	N	N	N	Y	N	N
24	A24	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	21.922	21.922					true	0.040	true	1	45						0.999	0.374	N	N	N	Y	N	N
24	A24	false	10^6	epec_eae	UNKNOWN	FAM	NFQ-MGB	16.648	16.648					true	0.179	true	1	45						1.285	0.987	N	N	N	Y	N	N
25	B1	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.194	27.194					true	0.040	true	1	45						0.947	0.835	N	N	N	Y	N	N
25	B1	false	10^6	etec_lt	UNKNOWN	FAM	NFQ-MGB	15.875	15.875					true	0.128	true	1	45						1.237	0.960	N	N	N	Y	N	N
26	B2	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.743	26.743					true	0.040	true	1	45						1.057	0.901	N	N	N	Y	N	N
26	B2	false	10^6	etec_sth	UNKNOWN	FAM	NFQ-MGB	16.381	16.381					true	0.169	true	1	45						1.325	0.974	N	N	N	Y	N	N
27	B3	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.602	26.602					true	0.040	true	1	45						1.048	0.868	N	N	N	Y	N	N
27	B3	false	10^6	etec_stp	UNKNOWN	FAM	NFQ-MGB	15.522	15.522					true	0.040	true	1	45						1.109	0.675	N	N	N	Y	N	N
28	B4	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.621	26.621					true	0.040	true	1	45						1.017	0.902	N	N	N	Y	N	N
28	B4	false	10^6	giardia_spp	UNKNOWN	FAM	NFQ-MGB	15.416	15.416					true	0.147	true	1	45						1.223	0.697	N	N	N	Y	N	N
29	B5	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.074	26.074					true	0.040	true	1	45						1.069	0.858	N	N	N	Y	N	N
29	B5	false	10^6	helicobactor_pylori	UNKNOWN	FAM	NFQ-MGB	15.916	15.916					true	0.085	true	1	45						1.185	0.707	N	N	N	Y	N	N
30	B6	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.274	25.274					true	0.040	true	1	45						1.086	0.878	N	N	N	Y	N	N
30	B6	false	10^6	hep_a	UNKNOWN	FAM	NFQ-MGB	20.340	20.340					true	0.119	true	1	45						1.183	0.698	N	N	N	Y	N	N
31	B7	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.533	26.533					true	0.040	true	1	45						1.110	0.895	N	N	N	Y	N	N
31	B7	false	10^6	hep_g	UNKNOWN	FAM	NFQ-MGB	26.972	26.972					true	0.201	true	1	45						1.306	0.955	N	N	N	Y	N	N
32	B8	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.230	26.230					true	0.040	true	1	45						1.066	0.857	N	N	N	Y	N	N
32	B8	false	10^6	hf183	UNKNOWN	FAM	NFQ-MGB	15.807	15.807					true	0.138	true	1	45						1.253	0.820	N	N	N	Y	N	N
33	B9	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	24.771	24.771					true	0.040	true	1	45						1.093	0.836	N	N	N	Y	N	N
33	B9	false	10^6	human_mtdna	UNKNOWN	FAM	NFQ-MGB	16.248	16.248					true	0.065	true	1	45						1.139	0.550	N	N	N	Y	N	N
34	B10	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.105	27.105					true	0.040	true	1	45						1.018	0.840	N	N	N	Y	N	N
34	B10	false	10^6	necator_americanus	UNKNOWN	FAM	NFQ-MGB	18.336	18.336					true	0.073	true	1	45						1.173	0.778	N	N	N	Y	N	N
35	B11	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.504	26.504					true	0.040	true	1	45						1.070	0.894	N	N	N	Y	N	N
35	B11	false	10^6	norovirus_gi	UNKNOWN	FAM	NFQ-MGB	20.488	20.488					true	0.096	true	1	45						1.175	0.741	N	N	N	Y	N	N
36	B12	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.773	26.773					true	0.040	true	1	45						1.069	0.858	N	N	N	Y	N	N
36	B12	false	10^6	norovirus_gii	UNKNOWN	FAM	NFQ-MGB	20.282	20.282					true	0.103	true	1	45						1.183	0.950	N	N	N	Y	N	N
37	B13	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.619	26.619					true	0.040	true	1	45						1.083	0.863	N	N	N	Y	N	N
37	B13	false	10^6	plesiomonas_shigeeloides	UNKNOWN	FAM	NFQ-MGB	15.873	15.873					true	0.134	true	1	45						1.235	0.825	N	N	N	Y	N	N
38	B14	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.118	25.118					true	0.040	true	1	45						1.059	0.904	N	N	N	Y	N	N
38	B14	false	10^6	rotavirus	UNKNOWN	FAM	NFQ-MGB	21.736	21.736					true	0.156	true	1	45						1.282	0.949	N	N	N	Y	N	N
39	B15	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.720	25.720					true	0.040	true	1	45						1.055	0.883	N	N	N	Y	N	N
39	B15	false	10^6	salmonella_enterica	UNKNOWN	FAM	NFQ-MGB	16.182	16.182					true	0.226	true	1	45						1.372	0.957	N	N	N	Y	N	N
40	B16	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.601	26.601					true	0.040	true	1	45						1.076	0.887	N	N	N	Y	N	N
40	B16	false	10^6	sapovirus_i_ii_iv_v	UNKNOWN	FAM	NFQ-MGB	20.190	20.190					true	0.087	true	1	45						1.193	0.960	N	N	N	Y	N	N
41	B17	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	24.880	24.880					true	0.040	true	1	45						0.931	0.401	N	N	N	Y	N	N
41	B17	false	10^6	sars_cov_2	UNKNOWN	FAM	NFQ-MGB	18.398	18.398					true	0.125	true	1	45						1.280	0.794	N	N	N	Y	N	N
42	B18	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.666	26.666					true	0.040	true	1	45						1.059	0.888	N	N	N	Y	N	N
42	B18	false	10^6	shigella_eiec	UNKNOWN	FAM	NFQ-MGB	16.208	16.208					true	0.164	true	1	45						1.253	0.957	N	N	N	Y	N	N
43	B19	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.648	26.648					true	0.040	true	1	45						1.028	0.885	N	N	N	Y	N	N
43	B19	false	10^6	stec_stx1	UNKNOWN	FAM	NFQ-MGB	17.385	17.385					true	0.205	true	1	45						1.351	0.939	N	N	N	Y	N	N
44	B20	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.210	26.210					true	0.040	true	1	45						1.069	0.897	N	N	N	Y	N	N
44	B20	false	10^6	stec_stx2	UNKNOWN	FAM	NFQ-MGB	16.762	16.762					true	0.143	true	1	45						1.263	0.890	N	N	N	Y	N	N
45	B21	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	28.095	28.095					true	0.040	true	1	45						0.868	0.452	N	N	N	Y	N	N
45	B21	false	10^6	strongyloides_stercolaris	UNKNOWN	FAM	NFQ-MGB	16.171	16.171					true	0.201	true	1	45						1.405	0.967	N	N	N	Y	N	N
46	B22	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	29.594	29.594					true	0.040	true	1	45						0.838	0.597	N	N	N	Y	N	N
46	B22	false	10^6	tichuris_trichuira	UNKNOWN	FAM	NFQ-MGB	16.875	16.875					true	0.352	true	1	45						1.441	0.985	N	N	N	Y	N	N
47	B23	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.907	26.907					true	0.040	true	1	45						1.028	0.894	N	N	N	Y	N	N
47	B23	false	10^6	yersinia_enterocolitica	UNKNOWN	FAM	NFQ-MGB	15.244	15.244					true	0.080	true	1	45						1.157	0.765	N	N	N	Y	N	N
48	B24	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.798	26.798					true	0.040	true	1	45						1.001	0.930	N	N	N	Y	N	N
48	B24	false	10^6	zika	UNKNOWN	FAM	NFQ-MGB	20.971	20.971					true	0.192	true	1	45						1.295	0.958	N	N	N	Y	N	N
49	C1	false	10^5	16s	UNKNOWN	FAM	NFQ-MGB	15.903	15.903					true	0.040	true	1	45						0.961	0.585	N	N	N	Y	N	N
49	C1	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.765	26.765					true	0.040	true	1	45						1.086	0.880	N	N	N	Y	N	N
50	C2	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.289	25.289					true	0.040	true	1	45						1.052	0.893	N	N	N	Y	N	N
50	C2	false	10^5	acanthamoeba_spp	UNKNOWN	FAM	NFQ-MGB	17.160	17.160					true	0.130	true	1	45						1.214	0.722	N	N	N	Y	N	N
51	C3	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	24.583	24.583					true	0.040	true	1	45						1.066	0.788	Y	N	N	Y	Y	Y
51	C3	false	10^5	adenovirus_40_41	UNKNOWN	FAM	NFQ-MGB	13.590	13.590					true	0.045	true	1	45						1.056	0.483	Y	N	N	Y	Y	Y
52	C4	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	23.867	23.867					true	0.040	true	1	45						0.988	0.374	N	N	N	Y	N	N
52	C4	false	10^5	anclyostoma_duoenale	UNKNOWN	FAM	NFQ-MGB	18.036	18.036					true	0.165	true	1	45						1.337	0.948	N	N	N	Y	N	N
53	C5	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.826	26.826					true	0.040	true	1	45						1.069	0.879	N	N	Y	Y	N	N
53	C5	false	10^5	ascaris_lumbricoides	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	N	N	Y	Y	N	N
54	C6	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.806	26.806					true	0.040	true	1	45						1.079	0.874	N	N	N	Y	N	N
54	C6	false	10^5	astrovirus	UNKNOWN	FAM	NFQ-MGB	25.689	25.689					true	0.101	true	1	45						1.212	0.804	N	N	N	Y	N	N
55	C7	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.195	27.195					true	0.040	true	1	45						0.993	0.674	N	N	N	Y	N	N
55	C7	false	10^5	balantidium_coli	UNKNOWN	FAM	NFQ-MGB	16.880	16.880					true	0.316	true	1	45						1.407	0.964	N	N	N	Y	N	N
56	C8	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.120	26.120					true	0.040	true	1	45						1.066	0.885	N	N	N	Y	N	N
56	C8	false	10^5	bhv	UNKNOWN	FAM	NFQ-MGB	17.617	17.617					true	0.040	true	1	45						0.984	0.428	N	N	N	Y	N	N
57	C9	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.456	26.456					true	0.040	true	1	45						1.024	0.854	N	N	N	Y	N	N
57	C9	false	10^5	blastocystis_spp	UNKNOWN	FAM	NFQ-MGB	19.633	19.633					true	0.040	true	1	45						1.046	0.728	N	N	N	Y	N	N
58	C10	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.911	25.911					true	0.040	true	1	45						1.087	0.903	N	N	N	Y	N	N
58	C10	false	10^5	brsv	UNKNOWN	FAM	NFQ-MGB	24.298	24.298					true	0.155	true	1	45						1.323	0.956	N	N	N	Y	N	N
59	C11	false	10^5	18s	UNKNOWN	FAM	NFQ-MGB	34.668	34.668					true	0.121	true	1	45						1.160	0.964	N	N	N	Y	N	N
59	C11	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.906	26.906					true	0.040	true	1	45						1.080	0.826	N	N	N	Y	N	N
60	C12	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.193	26.193					true	0.040	true	1	45						1.053	0.861	N	N	N	Y	N	N
60	C12	false	10^5	c_jejuni_c_coli	UNKNOWN	FAM	NFQ-MGB	14.456	14.456					true	0.111	true	1	45						1.307	0.890	N	N	N	Y	N	N
61	C13	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	28.565	28.565					true	0.040	true	1	45						0.790	0.452	N	N	N	Y	N	N
61	C13	false	10^5	clostridium_difficile	UNKNOWN	FAM	NFQ-MGB	16.601	16.601					true	0.122	true	1	45						1.314	0.815	N	N	N	Y	N	N
62	C14	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.457	26.457					true	0.040	true	1	45						1.055	0.880	N	N	N	Y	N	N
62	C14	false	10^5	cryptosporidium_spp	UNKNOWN	FAM	NFQ-MGB	15.821	15.821					true	0.062	true	1	45						1.173	0.841	N	N	N	Y	N	N
63	C15	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.192	25.192					true	0.040	true	1	45						1.081	0.865	N	N	N	Y	N	N
63	C15	false	10^5	cyclospora_cayetanesis	UNKNOWN	FAM	NFQ-MGB	15.934	15.934					true	0.132	true	1	45						1.266	0.824	N	N	N	Y	N	N
64	C16	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.498	26.498					true	0.040	true	1	45						1.061	0.886	N	N	N	Y	N	N
64	C16	false	10^5	e_coli_ybbW	UNKNOWN	FAM	NFQ-MGB	26.101	26.101					true	0.218	true	1	45						1.308	0.962	N	N	N	Y	N	N
65	C17	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	N	N	N	Y	N	N
65	C17	false	10^5	e_coli_0157H7	UNKNOWN	FAM	NFQ-MGB	15.124	15.124					true	0.131	true	1	45						1.343	0.984	N	N	N	Y	N	N
66	C18	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.464	26.464					true	0.040	true	1	45						1.086	0.851	Y	N	N	Y	N	Y
66	C18	false	10^5	eaec_aaic	UNKNOWN	FAM	NFQ-MGB	15.969	15.969					true	0.040	true	1	45						1.188	0.726	Y	N	N	Y	N	Y
67	C19	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.445	27.445					true	0.040	true	1	45						1.013	0.812	N	N	N	Y	N	N
67	C19	false	10^5	eaec_aata	UNKNOWN	FAM	NFQ-MGB	14.845	14.845					true	0.040	true	1	45						1.061	0.753	N	N	N	Y	N	N
68	C20	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.565	25.565					true	0.040	true	1	45						1.059	0.889	N	N	N	Y	N	N
68	C20	false	10^5	entamoeba_histolytica	UNKNOWN	FAM	NFQ-MGB	17.741	17.741					true	0.094	true	1	45						1.210	0.706	N	N	N	Y	N	N
69	C21	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.183	25.183					true	0.040	true	1	45						1.023	0.713	N	N	N	Y	N	N
69	C21	false	10^5	enterobius_verminularis	UNKNOWN	FAM	NFQ-MGB	18.285	18.285					true	0.240	true	1	45						1.395	0.988	N	N	N	Y	N	N
70	C22	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.995	25.995					true	0.040	true	1	45						1.058	0.860	N	N	N	Y	N	N
70	C22	false	10^5	enterococcus_spp	UNKNOWN	FAM	NFQ-MGB	19.619	19.619					true	0.158	true	1	45						1.276	0.981	N	N	N	Y	N	N
71	C23	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.873	25.873					true	0.040	true	1	45						0.994	0.839	N	N	N	Y	N	N
71	C23	false	10^5	epec_bfpa	UNKNOWN	FAM	NFQ-MGB	18.441	18.441					true	0.099	true	1	45						1.217	0.840	N	N	N	Y	N	N
72	C24	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	23.850	23.850					true	0.040	true	1	45						1.054	0.645	N	N	N	Y	N	N
72	C24	false	10^5	epec_eae	UNKNOWN	FAM	NFQ-MGB	19.512	19.512					true	0.179	true	1	45						1.295	0.969	N	N	N	Y	N	N
73	D1	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.855	26.855					true	0.040	true	1	45						0.975	0.846	N	N	N	Y	N	N
73	D1	false	10^5	etec_lt	UNKNOWN	FAM	NFQ-MGB	18.972	18.972					true	0.128	true	1	45						1.286	0.926	N	N	N	Y	N	N
74	D2	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.764	25.764					true	0.040	true	1	45						1.078	0.889	N	N	N	Y	N	N
74	D2	false	10^5	etec_sth	UNKNOWN	FAM	NFQ-MGB	20.001	20.001					true	0.169	true	1	45						1.317	0.918	N	N	N	Y	N	N
75	D3	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.849	25.849					true	0.040	true	1	45						1.075	0.906	N	N	N	Y	N	N
75	D3	false	10^5	etec_stp	UNKNOWN	FAM	NFQ-MGB	18.745	18.745					true	0.040	true	1	45						1.133	0.811	N	N	N	Y	N	N
76	D4	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.411	26.411					true	0.040	true	1	45						1.033	0.910	N	N	N	Y	N	N
76	D4	false	10^5	giardia_spp	UNKNOWN	FAM	NFQ-MGB	18.926	18.926					true	0.147	true	1	45						1.238	0.692	N	N	N	Y	N	N
77	D5	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.124	26.124					true	0.040	true	1	45						1.067	0.894	N	N	N	Y	N	N
77	D5	false	10^5	helicobactor_pylori	UNKNOWN	FAM	NFQ-MGB	18.964	18.964					true	0.085	true	1	45						1.209	0.744	N	N	N	Y	N	N
78	D6	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.953	25.953					true	0.040	true	1	45						1.096	0.893	N	N	N	Y	N	N
78	D6	false	10^5	hep_a	UNKNOWN	FAM	NFQ-MGB	23.986	23.986					true	0.119	true	1	45						1.179	0.769	N	N	N	Y	N	N
79	D7	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.940	25.940					true	0.040	true	1	45						1.112	0.913	N	N	N	Y	N	N
79	D7	false	10^5	hep_g	UNKNOWN	FAM	NFQ-MGB	27.082	27.082					true	0.201	true	1	45						1.315	0.937	N	N	N	Y	N	N
80	D8	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.418	26.418					true	0.040	true	1	45						1.073	0.888	N	N	N	Y	N	N
80	D8	false	10^5	hf183	UNKNOWN	FAM	NFQ-MGB	19.594	19.594					true	0.138	true	1	45						1.263	0.827	N	N	N	Y	N	N
81	D9	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.074	25.074					true	0.040	true	1	45						1.107	0.906	N	N	N	Y	N	N
81	D9	false	10^5	human_mtdna	UNKNOWN	FAM	NFQ-MGB	19.537	19.537					true	0.065	true	1	45						1.157	0.634	N	N	N	Y	N	N
82	D10	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.419	26.419					true	0.040	true	1	45						1.041	0.888	N	N	N	Y	N	N
82	D10	false	10^5	necator_americanus	UNKNOWN	FAM	NFQ-MGB	21.974	21.974					true	0.073	true	1	45						1.171	0.837	N	N	N	Y	N	N
83	D11	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.409	26.409					true	0.040	true	1	45						1.077	0.895	N	N	N	Y	N	N
83	D11	false	10^5	norovirus_gi	UNKNOWN	FAM	NFQ-MGB	24.534	24.534					true	0.096	true	1	45						1.170	0.794	N	N	N	Y	N	N
84	D12	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.217	26.217					true	0.040	true	1	45						1.070	0.884	N	N	N	Y	N	N
84	D12	false	10^5	norovirus_gii	UNKNOWN	FAM	NFQ-MGB	24.178	24.178					true	0.103	true	1	45						1.187	0.909	N	N	N	Y	N	N
85	D13	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.198	26.198					true	0.040	true	1	45						1.095	0.937	N	N	N	Y	N	N
85	D13	false	10^5	plesiomonas_shigeeloides	UNKNOWN	FAM	NFQ-MGB	19.222	19.222					true	0.134	true	1	45						1.232	0.867	N	N	N	Y	N	N
86	D14	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.112	26.112					true	0.040	true	1	45						1.093	0.895	N	N	N	Y	N	N
